image_id,transform,feature_id,original_value,transformed_value,absolute_change,percentage_change,status,should_theoretically_preserve,limitations
angry_a11,brightness_up_1.3x,segmentation.component_count,98.0,91.0,7.0,0.0714,pass,True,
angry_a11,brightness_up_1.3x,segmentation.largest_component_ratio,0.453926,0.454767,0.000841,0.0019,pass,True,
angry_a11,brightness_up_1.3x,colour.dark_ratio,0.340272,0.267234,0.073038,0.2146,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
angry_a11,brightness_down_0.7x,segmentation.foreground_coverage,0.222657,0.209407,0.01325,0.0595,pass,True,
angry_a11,brightness_down_0.7x,segmentation.bounding_box_coverage,0.938395,0.931232,0.007163,0.0076,pass,True,
angry_a11,brightness_down_0.7x,composition.centroid_x,0.480795,0.475672,0.005123,0.0107,pass,True,
angry_a11,brightness_down_0.7x,composition.centroid_y,0.413677,0.401881,0.011796,0.0285,pass,True,
angry_a11,brightness_down_0.7x,composition.symmetry,0.717587,0.726194,0.008607,0.012,pass,True,
angry_a11,brightness_down_0.7x,stroke.edge_density,0.182488,0.149603,0.032886,0.1802,pass,True,
angry_a11,brightness_down_0.7x,stroke.intensity_proxy,0.593844,0.724147,0.130303,0.2194,pass,True,
angry_a11,brightness_down_0.7x,stroke.fragmentation,0.060284,0.061482,0.001198,0.0199,pass,True,
angry_a11,brightness_down_0.7x,segmentation.component_count,98.0,94.0,4.0,0.0408,pass,True,
angry_a11,brightness_down_0.7x,segmentation.largest_component_ratio,0.453926,0.442462,0.011464,0.0253,pass,True,
angry_a11,brightness_down_0.7x,colour.dark_ratio,0.340272,0.626032,0.28576,0.8398,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
angry_a11,contrast_up_1.3x,segmentation.foreground_coverage,0.222657,0.227818,0.005161,0.0232,pass,True,
angry_a11,contrast_up_1.3x,segmentation.bounding_box_coverage,0.938395,0.939828,0.001433,0.0015,pass,True,
angry_a11,contrast_up_1.3x,composition.centroid_x,0.480795,0.482064,0.00127,0.0026,pass,True,
angry_a11,contrast_up_1.3x,composition.centroid_y,0.413677,0.419133,0.005456,0.0132,pass,True,
angry_a11,contrast_up_1.3x,composition.symmetry,0.717587,0.71682,0.000767,0.0011,pass,True,
angry_a11,contrast_up_1.3x,stroke.edge_density,0.182488,0.196097,0.013609,0.0746,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
angry_a11,contrast_up_1.3x,stroke.intensity_proxy,0.593844,0.66905,0.075206,0.1266,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
angry_a11,contrast_up_1.3x,stroke.fragmentation,0.060284,0.062526,0.002242,0.0372,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
angry_a11,contrast_up_1.3x,segmentation.component_count,98.0,104.0,6.0,0.0612,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
angry_a11,contrast_up_1.3x,segmentation.largest_component_ratio,0.453926,0.466729,0.012803,0.0282,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
angry_a11,contrast_up_1.3x,colour.dark_ratio,0.340272,0.489527,0.149255,0.4386,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
angry_a11,contrast_down_0.7x,segmentation.foreground_coverage,0.222657,0.209591,0.013067,0.0587,pass,True,
angry_a11,contrast_down_0.7x,segmentation.bounding_box_coverage,0.938395,0.932665,0.005731,0.0061,pass,True,
angry_a11,contrast_down_0.7x,composition.centroid_x,0.480795,0.475781,0.005014,0.0104,pass,True,
angry_a11,contrast_down_0.7x,composition.centroid_y,0.413677,0.402,0.011677,0.0282,pass,True,
angry_a11,contrast_down_0.7x,composition.symmetry,0.717587,0.725739,0.008152,0.0114,pass,True,
angry_a11,contrast_down_0.7x,stroke.edge_density,0.182488,0.149496,0.032992,0.1808,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
angry_a11,contrast_down_0.7x,stroke.intensity_proxy,0.593844,0.501634,0.09221,0.1553,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
angry_a11,contrast_down_0.7x,stroke.fragmentation,0.060284,0.058814,0.00147,0.0244,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
angry_a11,contrast_down_0.7x,segmentation.component_count,98.0,90.0,8.0,0.0816,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
angry_a11,contrast_down_0.7x,segmentation.largest_component_ratio,0.453926,0.443015,0.01091,0.024,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
