model,class_name,cohort,n_images_in_cohort,n_present,n_absent,n_uncertain,n_not_assessable,n_usable_for_metrics,sufficient_support,tp,fp,fn,tn,precision,recall,f1,specificity,balanced_accuracy,ranking_separation
grounding_dino,tree,dev_eligible_excl_test,73,13,59,1,0,72,True,13,43,0,16,0.23214285714285715,1.0,0.37681159420289856,0.2711864406779661,0.635593220338983,0.894393741851369
grounding_dino,tree,locked_test_descriptive_only,7,2,5,0,0,7,False,1,2,1,3,0.3333333333333333,0.5,0.4,0.6,0.55,0.65
grounding_dino,heart,full_80,80,5,75,0,0,80,True,4,51,1,24,0.07272727272727272,0.8,0.13333333333333333,0.32,0.56,0.7226666666666667
grounding_dino,heart,dev_eligible_excl_test,73,4,69,0,0,73,False,3,46,1,23,0.061224489795918366,0.75,0.11320754716981131,0.3333333333333333,0.5416666666666666,0.7445652173913043
grounding_dino,heart,locked_test_descriptive_only,7,1,6,0,0,7,False,1,5,0,1,0.16666666666666666,1.0,0.2857142857142857,0.16666666666666666,0.5833333333333334,0.3333333333333333
grounding_dino,star,full_80,80,6,74,0,0,80,True,4,34,2,40,0.10526315789473684,0.6666666666666666,0.18181818181818182,0.5405405405405406,0.6036036036036037,0.6036036036036037
grounding_dino,star,dev_eligible_excl_test,73,5,68,0,0,73,True,3,30,2,38,0.09090909090909091,0.6,0.15789473684210525,0.5588235294117647,0.5794117647058823,0.5764705882352941
grounding_dino,star,locked_test_descriptive_only,7,1,6,0,0,7,False,1,4,0,2,0.2,1.0,0.33333333333333337,0.3333333333333333,0.6666666666666666,0.6666666666666666
grounding_dino,circle,full_80,80,4,76,0,0,80,False,1,48,3,28,0.02040816326530612,0.25,0.037735849056603765,0.3684210526315789,0.3092105263157895,0.3125
grounding_dino,circle,dev_eligible_excl_test,73,4,69,0,0,73,False,1,42,3,27,0.023255813953488372,0.25,0.0425531914893617,0.391304347826087,0.32065217391304346,0.3278985507246377
grounding_dino,circle,locked_test_descriptive_only,7,0,7,0,0,7,False,0,6,0,1,0.0,,,0.14285714285714285,,
grounding_dino,vehicle,full_80,80,5,75,0,0,80,True,0,0,5,75,,0.0,,1.0,0.5,0.5
grounding_dino,vehicle,dev_eligible_excl_test,73,3,70,0,0,73,False,0,0,3,70,,0.0,,1.0,0.5,0.5
grounding_dino,vehicle,locked_test_descriptive_only,7,2,5,0,0,7,False,0,0,2,5,,0.0,,1.0,0.5,0.5
florence2,person,full_80,80,59,21,0,0,80,True,59,21,0,0,0.7375,1.0,0.8489208633093526,0.0,0.5,
florence2,person,dev_eligible_excl_test,73,52,21,0,0,73,True,52,21,0,0,0.7123287671232876,1.0,0.832,0.0,0.5,
florence2,person,locked_test_descriptive_only,7,7,0,0,0,7,True,7,0,0,0,1.0,1.0,1.0,,,
florence2,face,full_80,80,71,9,0,0,80,True,71,9,0,0,0.8875,1.0,0.9403973509933775,0.0,0.5,
florence2,face,dev_eligible_excl_test,73,64,9,0,0,73,True,64,9,0,0,0.8767123287671232,1.0,0.9343065693430657,0.0,0.5,
florence2,face,locked_test_descriptive_only,7,7,0,0,0,7,True,7,0,0,0,1.0,1.0,1.0,,,
florence2,hand,full_80,80,43,37,0,0,80,True,43,37,0,0,0.5375,1.0,0.6991869918699186,0.0,0.5,
florence2,hand,dev_eligible_excl_test,73,38,35,0,0,73,True,38,35,0,0,0.5205479452054794,1.0,0.6846846846846847,0.0,0.5,
florence2,hand,locked_test_descriptive_only,7,5,2,0,0,7,True,5,2,0,0,0.7142857142857143,1.0,0.8333333333333333,0.0,0.5,
florence2,animal,full_80,80,13,67,0,0,80,True,13,67,0,0,0.1625,1.0,0.27956989247311825,0.0,0.5,
florence2,animal,dev_eligible_excl_test,73,10,63,0,0,73,True,10,63,0,0,0.136986301369863,1.0,0.24096385542168672,0.0,0.5,
florence2,animal,locked_test_descriptive_only,7,3,4,0,0,7,False,3,4,0,0,0.42857142857142855,1.0,0.6,0.0,0.5,
florence2,house,full_80,80,14,66,0,0,80,True,14,66,0,0,0.175,1.0,0.2978723404255319,0.0,0.5,
florence2,house,dev_eligible_excl_test,73,12,61,0,0,73,True,12,61,0,0,0.1643835616438356,1.0,0.2823529411764706,0.0,0.5,
florence2,house,locked_test_descriptive_only,7,2,5,0,0,7,False,2,5,0,0,0.2857142857142857,1.0,0.4444444444444445,0.0,0.5,
florence2,tree,full_80,80,15,64,1,0,79,True,15,64,0,0,0.189873417721519,1.0,0.3191489361702127,0.0,0.5,
florence2,tree,dev_eligible_excl_test,73,13,59,1,0,72,True,13,59,0,0,0.18055555555555555,1.0,0.30588235294117644,0.0,0.5,
florence2,tree,locked_test_descriptive_only,7,2,5,0,0,7,False,2,5,0,0,0.2857142857142857,1.0,0.4444444444444445,0.0,0.5,
florence2,heart,full_80,80,5,75,0,0,80,True,5,75,0,0,0.0625,1.0,0.11764705882352941,0.0,0.5,
florence2,heart,dev_eligible_excl_test,73,4,69,0,0,73,False,4,69,0,0,0.0547945205479452,1.0,0.10389610389610389,0.0,0.5,
florence2,heart,locked_test_descriptive_only,7,1,6,0,0,7,False,1,6,0,0,0.14285714285714285,1.0,0.25,0.0,0.5,
florence2,star,full_80,80,6,74,0,0,80,True,6,73,0,1,0.0759493670886076,1.0,0.1411764705882353,0.013513513513513514,0.5067567567567568,
florence2,star,dev_eligible_excl_test,73,5,68,0,0,73,True,5,67,0,1,0.06944444444444445,1.0,0.12987012987012989,0.014705882352941176,0.5073529411764706,
florence2,star,locked_test_descriptive_only,7,1,6,0,0,7,False,1,6,0,0,0.14285714285714285,1.0,0.25,0.0,0.5,
florence2,circle,full_80,80,4,76,0,0,80,False,4,76,0,0,0.05,1.0,0.09523809523809523,0.0,0.5,
florence2,circle,dev_eligible_excl_test,73,4,69,0,0,73,False,4,69,0,0,0.0547945205479452,1.0,0.10389610389610389,0.0,0.5,
florence2,circle,locked_test_descriptive_only,7,0,7,0,0,7,False,0,7,0,0,0.0,,,0.0,,
florence2,vehicle,full_80,80,5,75,0,0,80,True,5,75,0,0,0.0625,1.0,0.11764705882352941,0.0,0.5,
florence2,vehicle,dev_eligible_excl_test,73,3,70,0,0,73,False,3,70,0,0,0.0410958904109589,1.0,0.07894736842105263,0.0,0.5,
